30,WAC-006,nmb2,5/21/2006,10,35,4300,1,2,5.27,0.35,0,0.42,0.45,0.45,0.47,0.47,0.48,0.98,0,0.03,0.02,0,6.74,W,8.81,SW
31,WAC-006,nmb2,6/4/2006,10,33.2,2000,1,0,3.54,0.57,7,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0,0,0,0,6.46,S,2.31,SW
32,WAC-006,nmb2,6/6/2006,10,34,4300,1,0,4.09,0.75,1,0.95,0.95,0.95,1.84,1.84,1.84,1.84,0.01,0,0.89,0,4.44,N,4.23,N
33,WAC-006,nmb2,6/7/2006,10,34,2000,1,0,4.54,0.83,0,0.95,1.9,1.9,2.79,2.79,2.79,2.79,0.01,0.95,0,0.89,13.53,SW,4.44,N
34,WAC-006,nmb2,6/9/2006,10,34,4300,1,0,5.37,0.95,0,1.77,1.79,1.79,3.69,3.69,4.58,4.58,0.01,0.02,0.95,0.95,5.77,SW,9.82,SW
35,WAC-006,nmb2,6/16/2006,10,34.1,2100,45,0,5.75,0.71,0,0.04,0.14,0.14,3.77,3.77,3.77,3.78,0,0.1,0.34,3.29,3.44,SE,1.9,SE
36,WAC-006,nmb2,6/28/2006,10,32.5,4300,45,0,4.97,0.09,0,0.09,0.35,0.35,0.61,0.61,0.61,0.66,0,0.26,0.24,0.02,4.47,S,7.15,S
37,WAC-007,nmb2,5/16/2005,10,34,2100,45,1,3.46,0.53,3,0.03,0.03,0.03,0.03,0.04,0.04,0.05,0,0,0,0,1.78,SE,8.1,SW
38,WAC-007,nmb2,5/25/2005,10,33,4300,180,2,6.65,0.95,3,0.52,0.52,0.52,0.52,0.87,0.87,0.87,0.01,0,0,0,2.94,N,0.35,N
39,WAC-007,nmb2,5/31/2005,10,34.2,2100,225,2,5.31,0.37,1,0.55,0.55,0.55,0.61,0.61,0.62,1.14,0,0,0.06,0,8.57,NE,5.35,NE
40,WAC-007,nmb2,6/2/2005,10,33,4300,1,2,5.72,0.18,0,0.41,0.43,0.43,0.98,1.04,1.04,1.04,0,0.02,0.55,0,2.92,SE,11.02,E
41,WAC-007,nmb2,5/16/2006,10,34.1,2000,45,1,5.44,0.87,0,0.01,0.51,0.51,0.51,0.51,0.51,0.51,0,0.5,0,0,4.5,SW,10.45,SW
42,WAC-007,nmb2,5/21/2006,10,35,4300,1,2,5.27,0.35,0,0.42,0.45,0.45,0.47,0.47,0.48,0.98,0,0.03,0.02,0,6.74,W,8.81,SW
43,WAC-007,nmb2,6/4/2006,10,33.1,2000,1,0,3.54,0.57,7,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0,0,0,0,6.46,S,2.31,SW
44,WAC-007,nmb2,6/6/2006,10,34,4300,1,0,4.09,0.75,1,0.95,0.95,0.95,1.84,1.84,1.84,1.84,0.01,0,0.89,0,4.44,N,4.23,N
45,WAC-007,nmb2,6/7/2006,10,34,2000,1,0,4.54,0.83,0,0.95,1.9,1.9,2.79,2.79,2.79,2.79,0.01,0.95,0,0.89,13.53,SW,4.44,N
46,WAC-007,nmb2,6/9/2006,10,34,4300,1,0,5.37,0.95,0,1.77,1.79,1.79,3.69,3.69,4.58,4.58,0.01,0.02,0.95,0.95,5.77,SW,9.82,SW
47,WAC-007,nmb2,6/16/2006,20,34,2100,45,0,5.75,0.71,0,0.04,0.14,0.14,3.77,3.77,3.77,3.78,0,0.1,0.34,3.29,3.44,SE,1.9,SE
48,WAC-007,nmb2,6/28/2006,20,32.4,4300,45,0,4.97,0.09,0,0.09,0.35,0.35,0.61,0.61,0.61,0.66,0,0.26,0.24,0.02,4.47,S,7.15,S
49,WAC-008,nmb3,5/16/2006,10,34.1,2000,45,1,5.44,0.87,0,0.02,0.47,0.47,0.47,0.47,0.47,0.47,0,0.45,0,0,4.5,SW,10.45,SW
50,WAC-008,nmb3,5/21/2006,52,35,4300,1,2,5.27,0.35,0,0.44,0.46,0.5,0.5,0.5,0.52,0.97,0,0.02,0.04,0,6.74,W,8.81,SW
51,WAC-008,nmb3,6/4/2006,10,33.5,2000,1,0,3.54,0.57,7,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0,0,0,0,6.46,S,2.31,SW
52,WAC-008,nmb3,6/6/2006,10,34,4300,1,0,4.09,0.75,0,0.88,0.89,1.24,1.24,1.24,1.24,1.24,0.01,0.01,0.35,0,4.44,N,4.23,N
53,WAC-008,nmb3,6/7/2006,10,34,2000,1,0,4.54,0.83,0,0.43,1.31,1.32,1.67,1.67,1.67,1.67,0,0.88,0.01,0.35,13.53,SW,4.44,N
54,WAC-008,nmb3,6/9/2006,10,34,4300,1,0,5.37,0.95,0,1.98,1.99,2.42,3.3,3.31,3.66,3.66,0.01,0.01,0.43,0.88,5.77,SW,9.82,SW
55,WAC-008,nmb3,6/16/2006,10,33.9,2100,45,0,5.75,0.71,0,0.03,0.21,0.55,4.9,4.9,4.9,4.9,0,0.18,0.34,4.35,3.44,SE,1.9,SE
56,WAC-008,nmb3,6/28/2006,10,32.4,4300,45,0,4.97,0.09,0,0.19,1.04,1.26,1.26,1.26,1.26,1.31,0,0.85,0.22,0,4.47,S,7.15,S
57,WAC-008,nmb3,7/7/2006,10,35.4,4300,180,2,4.95,0.86,6,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0,0,0,0,6.78,NE,4.07,NE
58,WAC-008,nmb3,7/13/2006,10,34.9,4300,45,0,6.65,0.91,5,0.03,0.03,0.03,0.03,0.03,0.03,0.48,0,0,0,0,14.17,SW,10.76,SW
59,WAC-008,nmb3,7/17/2006,10,34.8,2100,1,0,5.89,0.51,0,0.02,0.59,0.59,0.59,0.62,0.62,0.62,0,0.57,0,0,2.64,SE,2.81,NE
60,WAC-008,nmb3,7/24/2006,10,34.7,2000,1,0,5.57,0,6,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.01,0,0,0,2.77,SE,6.03,SW
61,WAC-008,nmb3,7/26/2006,10,35,4300,135,1,5.28,0.02,0,0.08,1.53,1.79,1.79,1.79,1.79,1.79,0,1.45,0.26,0,3.84,S,3.99,SW
62,WAC-009,nmb3,5/16/2006,10,34,2000,45,1,5.44,0.87,0,0.02,0.47,0.47,0.47,0.47,0.47,0.47,0,0.45,0,0,4.5,SW,10.45,SW
63,WAC-009,nmb3,5/21/2006,20,35,4300,1,2,5.27,0.35,0,0.44,0.46,0.5,0.5,0.5,0.52,0.97,0,0.02,0.04,0,6.74,W,8.81,SW
64,WAC-009,nmb3,6/4/2006,75,32.9,2000,1,0,3.54,0.57,7,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0,0,0,0,6.46,S,2.31,SW
65,WAC-009,nmb3,6/6/2006,10,34,4300,1,0,4.09,0.75,0,0.88,0.89,1.24,1.24,1.24,1.24,1.24,0.01,0.01,0.35,0,4.44,N,4.23,N
66,WAC-009,nmb3,6/7/2006,10,34,2000,1,0,4.54,0.83,0,0.43,1.31,1.32,1.67,1.67,1.67,1.67,0,0.88,0.01,0.35,13.53,SW,4.44,N
67,WAC-009,nmb3,6/9/2006,10,34,4300,1,0,5.37,0.95,0,1.98,1.99,2.42,3.3,3.31,3.66,3.66,0.01,0.01,0.43,0.88,5.77,SW,9.82,SW
68,WAC-009,nmb3,6/16/2006,75,34.1,2100,45,0,5.75,0.71,0,0.03,0.21,0.55,4.9,4.9,4.9,4.9,0,0.18,0.34,4.35,3.44,SE,1.9,SE
