142,2001,130,2400,13,,0,0,0,0,0
142,2001,139,2400,12.74,,0.01,,0,0,0
142,2001,140,2400,12.72,,0.01,,0,0,0
142,2001,141,2400,12.86,,0.01,,0,0,0
142,2001,142,2400,12.82,,0,0,0,0,0
142,2001,143,2400,12.8,,0.42,,0,0,0
141,2001,151,2000,12.73,,0.01,0,0,0,0
142,2001,151,2400,12.73,,0.01,0,0,0,0
141,2001,152,1850,12.73,,0.01,0,0,0,0
141,2001,152,1900,12.73,,0.04,0,0,0,0
141,2001,152,2120,12.72,,0.01,0,0,0,0
141,2001,152,2140,12.72,,0.01,0,0,0,0
141,2001,152,2200,12.72,,0.01,0,0,0,0
141,2001,152,2210,12.72,,0.02,0,0,0,0
141,2001,152,2220,12.72,,0.1,0,0,0,0
141,2001,152,2230,12.72,,0.04,0,0,0,0
141,2001,152,2240,12.72,,0.01,0,0,0,0
141,2001,152,2300,12.72,,0.01,0,0,0,0
142,2001,152,2400,12.72,,0.26,0,0,0,0
142,2001,153,2400,12.71,,0,0,0,0,0
141,2001,154,2130,13.14,,0.09,0,0,0,0
141,2001,154,2140,13.15,,0.37,0,0,0,0
141,2001,154,2150,13.16,,0.38,0,0,0,0
141,2001,154,2200,13.17,,0.14,0,0,0,0
141,2001,154,2210,13.17,,0.04,0,0,0,0
141,2001,154,2230,13.18,,0.01,0,0,0,0
141,2001,154,2240,13.18,,0.01,0,0,0,0
141,2001,154,2300,13.18,,0.01,0,0,0,0
142,2001,154,2400,12.69,,1.05,0,0,0,0
141,2001,155,950,13.28,,0.01,0,0,0,0
142,2001,155,2400,13.15,,0.01,0,0,0,0
142,2001,156,2400,13.17,,0,0,0,0,0
142,2001,157,2400,13.19,,0,0,0,0,0
142,2001,158,2400,13.18,,0,0,0,0,0
141,2001,159,1340,13.25,,0.03,0,0,0,0
141,2001,159,1350,13.26,,0.06,0,0,0,0
141,2001,159,1420,13.26,,0.03,0,0,0,0
141,2001,159,1450,13.26,,0.01,0,0,0,0
141,2001,159,1850,13.26,,0.01,0,0,0,0
141,2001,159,1900,13.25,,0.01,0,0,0,0
141,2001,159,1910,13.25,,0.03,0,0,0,0
141,2001,159,1920,13.25,,0.11,0,0,0,0
141,2001,159,1930,13.25,,0.24,0,0,0,0
141,2001,159,1940,13.25,,0.03,0,0,0,0
141,2001,159,1950,13.26,,0.02,0,0,0,0
141,2001,159,2000,13.25,,0.01,0,0,0,0
141,2001,159,2100,13.26,,0.05,0,0,0,0
141,2001,159,2110,13.26,,0.09,0,0,0,0
141,2001,159,2120,13.26,,0.02,0,0,0,0
141,2001,159,2130,13.26,,0.08,0,0,0,0
141,2001,159,2220,13.26,,0.02,0,0,0,0
141,2001,159,2230,13.26,,0.02,0,0,0,0
141,2001,159,2240,13.26,,0.04,0,0,0,0
141,2001,159,2320,13.26,,0.01,0,0,0,0
142,2001,159,2400,13.2,,0.92,0,0,0,0
141,2001,160,30,13.26,,0.01,0,0,0,0
141,2001,160,100,13.27,,0.02,0,0,0,0
141,2001,160,110,13.27,,0.01,0,0,0,0
142,2001,160,2400,13.22,,0.04,0,0,0,0
142,2001,161,2400,13.2,,0,0,0,0,0
142,2001,162,2400,13.2,,0,0,0,0,0
142,2001,163,2400,13.21,,0,0,0,0,0
141,2001,164,930,13.27,,0.02,0,0,0,0
141,2001,164,940,13.27,,0.03,0,0,0,0
141,2001,164,1020,13.26,,0.01,0,0,0,0
141,2001,164,1330,13.26,,0.01,0,0,0,0
141,2001,164,1340,13.26,,0.01,0,0,0,0
141,2001,164,1620,13.26,,0.01,0,0,0,0
141,2001,164,1640,13.26,,0.01,0,0,0,0
141,2001,164,1650,13.26,,0.01,0,0,0,0
141,2001,164,1710,13.26,,0.01,0,0,0,0
141,2001,164,1720,13.26,,0.02,0,0,0,0
141,2001,164,1730,13.26,,0.01,0,0,0,0
141,2001,164,1740,13.26,,0.01,0,0,0,0
141,2001,164,1750,13.26,,0.08,0,0,0,0
141,2001,164,1830,13.26,,0.01,0,0,0,0
141,2001,164,1840,13.28,,0.01,0,0,0,0
141,2001,164,1940,13.28,,0.01,0,0,0,0
141,2001,164,2050,13.29,,0.02,0,0,0,0
142,2001,164,2400,13.24,,0.29,0,0,0,0
141,2001,165,220,13.3,,0.05,0,0,0,0
141,2001,165,230,13.3,,0.04,0,0,0,0
141,2001,165,310,13.3,,0.02,0,0,0,0
141,2001,165,320,13.31,,0.02,0,0,0,0
141,2001,165,830,13.33,,0.01,0,0,0,0
141,2001,165,1440,13.27,,0.01,0,0,0,0
141,2001,165,1500,13.27,,0.01,0,0,0,0
141,2001,165,1550,13.26,,0.25,0,0,0,0
141,2001,165,1600,13.26,,0.2,0,0,0,0
141,2001,165,1610,13.27,,0.04,0,0,0,0
141,2001,165,1650,13.27,,0.01,0,0,0,0
141,2001,165,1810,13.26,,0.01,0,0,0,0
142,2001,165,2400,13.26,,0.67,0,0,0,0
141,2001,166,1220,13.28,,0.01,0,0,0,0
141,2001,166,2350,13.2,,0.05,0,0,0,0
141,2001,166,2400,13.21,,0.04,0,0,0,0
142,2001,166,2400,13.18,,0.1,0,0,0,0
141,2001,167,10,13.2,,0.16,0,0,0,0
141,2001,167,20,13.21,,0.08,0,0,0,0
141,2001,167,30,13.21,,0.02,0,0,0,0
141,2001,167,40,13.21,,0.01,0,0,0,0
141,2001,167,100,13.22,,0.02,0,0,0,0
141,2001,167,110,13.22,,0.02,0,0,0,0
141,2001,167,130,13.22,,0.01,0,0,0,0
141,2001,167,150,13.23,,0.01,0,0,0,0
